;faturamentoBruto;margemBruta;restricoes;cluster
373;151416,66666666666;0,0;0;0
374;243214,5;0,0;0;0
375;242465,83333333334;147696,0;0;0
376;287819,75;0,0;0;0
377;1162368,5;456045,1666666667;0;0
378;72500,41666666667;0,0;0;0
379;7536305,5;839228,8333333334;0;0
380;300163,8333333333;0,0;0;0
381;253314,5;0,0;0;0
382;8902495,142857144;2516523,8571428573;1;1
383;191379,91666666666;0,0;0;0
384;965409,6666666666;0,0;0;0
385;8094611,583333333;3097078,4166666665;0;0
386;420656,8333333333;238053,25;0;0
387;2647385,285714286;783518,5714285715;0;0
388;120765,25;0,0;0;0
389;73751,91666666667;0,0;1;1
390;59721,333333333336;0,0;0;0
391;532938,75;195927,5;0;0
392;2156968,75;712711,75;0;0
393;2759443,9166666665;0,0;0;0
394;114892,33333333333;0,0;0;0
395;833818,1111111111;300167,6666666667;0;0
396;309967,9166666667;140214,25;0;0
397;3464574,6666666665;2116892,4166666665;0;0
398;317276,4166666667;0,0;0;0
399;482820,9166666667;213189,75;0;0
400;41378,75;0,0;0;0
401;154710,75;0,0;0;0
402;14967313,666666666;8872199,166666666;0;0
403;885286,75;0,0;1;1
404;153790,33333333334;0,0;0;0
405;628820,5;486672,75;1;1
406;462043,63636363635;238512,18181818182;1;1
407;25040,833333333332;7447,75;0;0
408;121301,25;0,0;0;0
409;391800,7;0,0;0;0
410;3468586,4;710355,3;0;0
411;101826,91666666667;0,0;0;0
412;169272,16666666666;0,0;0;0
413;185885,08333333334;105498,91666666667;0;0
414;402003,4166666667;0,0;1;1
415;500181,1666666667;0,0;0;0
416;259916,5;0,0;0;0
417;944121,0833333334;315829,25;0;0
418;158358,83333333334;0,0;0;0
419;598901,6666666666;316055,5833333333;0;0
420;2687097,5;0,0;0;0
421;44570,2;0,0;0;0
422;49101,25;0,0;0;0
423;170883,33333333334;0,0;1;1
424;404974,4285714286;0,0;0;0
425;42518,333333333336;0,0;0;0
426;296503,8181818182;114769,63636363637;0;0
427;450898,45454545453;366804,9090909091;0;0
428;1770599,9166666667;0,0;0;0
429;15423,166666666666;3434,4166666666665;0;0
430;47166,166666666664;0,0;0;0
431;1043772,8333333334;418521,9166666667;0;0
432;2835116,5;1715035,8333333333;0;0
433;921532,625;0,0;0;0
434;24153,75;0,0;1;1
435;65490,5;0,0;0;0
436;120356,83333333333;0,0;0;0
437;808316,2;333968,8;0;0
438;244019,83333333334;0,0;0;0
439;114827,0;34456,333333333336;0;0
440;8437585,083333334;4444100,75;0;0
441;34075,833333333336;0,0;0;0
442;4248956,0;0,0;0;0
443;35936,333333333336;0,0;0;0
444;54403,666666666664;0,0;0;0
445;396460,75;85576,33333333333;0;0
446;54757,166666666664;0,0;0;0
447;881642,5;268958,5;0;0
448;1413327,3333333333;0,0;1;1
449;12778,25;0,0;0;0
450;3232068,25;0,0;0;0
451;117622,33333333333;85760,91666666667;0;0
452;104496,41666666667;0,0;0;0
453;15202,666666666666;0,0;0;0
454;411577,1666666667;0,0;0;0
455;1583942,8333333333;583469,3333333334;0;0
456;3568473,75;0,0;0;0
457;276481,0833333333;0,0;0;0
458;106038,16666666667;0,0;0;0
459;85251,83333333333;0,0;0;0
460;110560,25;0,0;0;0
461;10665574,714285715;0,0;0;0
462;534811,5833333334;0,0;0;0
463;1312784,1666666667;0,0;0;0
464;6942408,0;0,0;0;0
465;191038,58333333334;0,0;0;0
466;274891,1666666667;0,0;0;0
467;425649,6666666667;127902,33333333333;0;0
468;126833,66666666667;0,0;0;0
469;117462,5;0,0;0;0
470;1082716,0833333333;255488,58333333334;0;0
471;37672454,54545455;11200181,818181818;1;1
472;7896531,625;3072101,375;0;0
473;402514,9166666667;0,0;0;0
474;123651,41666666667;53792,416666666664;0;0
475;67684,08333333333;0,0;0;0
476;79863,66666666667;0,0;0;0
477;51122,666666666664;0,0;0;0
478;1267601,6666666667;0,0;0;0
479;546829,5;0,0;1;1
480;105976,0;0,0;0;0
481;382371,8333333333;0,0;1;1
482;371795,75;0,0;0;0
483;18736,333333333332;0,0;0;0
484;9247346,75;2735943,0;0;0
485;307163,5;0,0;0;0
486;46582666,666666664;13106250,0;1;1
